year,flat_type,resale_price
2012-03,5 ROOM,625000
2012-03,5 ROOM,630000
2012-03,5 ROOM,655000
2012-03,EXECUTIVE,665000
2012-03,5 ROOM,668000
2012-03,5 ROOM,670888
2012-03,5 ROOM,675000
2012-03,5 ROOM,677000
2012-03,5 ROOM,688000
2012-03,5 ROOM,688000
2012-03,5 ROOM,705000
2012-03,5 ROOM,710000
2012-03,EXECUTIVE,728000
2012-03,5 ROOM,730000
2012-03,4 ROOM,737000
2012-03,EXECUTIVE,740000
2012-03,EXECUTIVE,775000
2012-03,EXECUTIVE,838000
2012-03,EXECUTIVE,850000
2012-03,MULTI-GENERATION,900000
2012-03,3 ROOM,275000
2012-03,3 ROOM,285000
2012-03,3 ROOM,288000
2012-03,3 ROOM,291000
2012-03,3 ROOM,295000
2012-03,3 ROOM,298000
2012-03,3 ROOM,300000
2012-03,3 ROOM,302000
2012-03,3 ROOM,307000
2012-03,3 ROOM,308000
2012-03,3 ROOM,308000
2012-03,3 ROOM,310000
2012-03,3 ROOM,312000
2012-03,3 ROOM,314000
2012-03,3 ROOM,315000
2012-03,3 ROOM,315000
2012-03,3 ROOM,317000
2012-03,3 ROOM,318000
2012-03,3 ROOM,318000
2012-03,3 ROOM,320000
2012-03,3 ROOM,321000
2012-03,3 ROOM,325000
2012-03,3 ROOM,328000
2012-03,3 ROOM,330000
2012-03,3 ROOM,331000
2012-03,3 ROOM,332000
2012-03,3 ROOM,333000
2012-03,3 ROOM,335000
2012-03,3 ROOM,336000
2012-03,3 ROOM,336000
2012-03,3 ROOM,338000
2012-03,3 ROOM,338000
2012-03,3 ROOM,340000
2012-03,3 ROOM,340000
2012-03,3 ROOM,341000
2012-03,3 ROOM,341000
2012-03,3 ROOM,342000
2012-03,3 ROOM,345000
2012-03,3 ROOM,347000
2012-03,3 ROOM,348000
2012-03,3 ROOM,355000
2012-03,4 ROOM,357000
2012-03,4 ROOM,369000
2012-03,4 ROOM,370000
2012-03,4 ROOM,372000
2012-03,4 ROOM,372000
2012-03,4 ROOM,378000
2012-03,4 ROOM,378000
2012-03,4 ROOM,380000
2012-03,4 ROOM,380000
2012-03,4 ROOM,388000
2012-03,4 ROOM,388000
2012-03,4 ROOM,393000
2012-03,4 ROOM,395000
2012-03,4 ROOM,396000
2012-03,4 ROOM,397000
2012-03,4 ROOM,403000
2012-03,4 ROOM,405000
2012-03,4 ROOM,408888
2012-03,4 ROOM,410000
2012-03,4 ROOM,410000
2012-03,4 ROOM,410000
2012-03,4 ROOM,410000
2012-03,4 ROOM,415000
2012-03,4 ROOM,418000
2012-03,4 ROOM,421000
2012-03,4 ROOM,422000
2012-03,4 ROOM,426000
2012-03,4 ROOM,428000
2012-03,4 ROOM,430000
2012-03,4 ROOM,430000
2012-03,4 ROOM,437000
2012-03,4 ROOM,448000
2012-03,5 ROOM,455000
2012-03,4 ROOM,457600
2012-03,5 ROOM,460000
2012-03,5 ROOM,461000
2012-03,4 ROOM,462000
2012-03,5 ROOM,463000
2012-03,4 ROOM,465000
2012-03,5 ROOM,468000
2012-03,5 ROOM,470000
2012-03,4 ROOM,473000
2012-03,4 ROOM,475000
2012-03,5 ROOM,475000
2012-03,4 ROOM,480000
2012-03,4 ROOM,488000
2012-03,4 ROOM,500000
2012-03,5 ROOM,515000
2012-03,5 ROOM,520000
2012-03,4 ROOM,540000
2012-03,EXECUTIVE,575000
2012-03,5 ROOM,590000
2012-03,4 ROOM,602000
2012-03,5 ROOM,604000
2012-03,5 ROOM,605000
2012-03,EXECUTIVE,618000
2012-03,5 ROOM,620000
2012-03,5 ROOM,620000
2012-03,EXECUTIVE,620000
2012-03,5 ROOM,620888
2012-03,5 ROOM,633000
2012-03,EXECUTIVE,700000
2012-03,EXECUTIVE,718000
2012-03,EXECUTIVE,723000
2012-03,EXECUTIVE,735000
2012-03,2 ROOM,268000
2012-03,3 ROOM,292000
2012-03,2 ROOM,292000
2012-03,2 ROOM,293888
2012-03,3 ROOM,312000
2012-03,3 ROOM,315000
2012-03,3 ROOM,318000
2012-03,3 ROOM,320000
2012-03,3 ROOM,322000
2012-03,3 ROOM,328000
2012-03,3 ROOM,340000
2012-03,3 ROOM,352000
2012-03,3 ROOM,355000
2012-03,3 ROOM,357000
2012-03,3 ROOM,360000
2012-03,3 ROOM,370000
2012-03,3 ROOM,373000
2012-03,3 ROOM,381000
2012-03,3 ROOM,385000
2012-03,3 ROOM,385000
2012-03,3 ROOM,386000
2012-03,3 ROOM,390000
2012-03,3 ROOM,390000
2012-03,3 ROOM,390000
2012-03,3 ROOM,395000
2012-03,3 ROOM,398000
2012-03,4 ROOM,398500
2012-03,3 ROOM,405000
2012-03,3 ROOM,415000
2012-03,3 ROOM,426000
2012-03,3 ROOM,440000
2012-03,3 ROOM,443000
2012-03,4 ROOM,458000
2012-03,4 ROOM,467000
2012-03,4 ROOM,468000
2012-03,4 ROOM,472000
2012-03,4 ROOM,485000
2012-03,4 ROOM,498000
2012-03,4 ROOM,510000
2012-03,3 ROOM,525000
2012-03,4 ROOM,525000
2012-03,4 ROOM,544000
2012-03,4 ROOM,545000
2012-03,4 ROOM,546000
2012-03,4 ROOM,550000
2012-03,3 ROOM,555000
2012-03,4 ROOM,560000
2012-03,4 ROOM,565000
2012-03,4 ROOM,571000
2012-03,4 ROOM,577888
2012-03,4 ROOM,580000
2012-03,4 ROOM,583000
2012-03,4 ROOM,585000
2012-03,4 ROOM,590000
2012-03,4 ROOM,615000
2012-03,4 ROOM,616000
2012-03,5 ROOM,623000
2012-03,4 ROOM,628000
2012-03,5 ROOM,631800
2012-03,5 ROOM,645000
2012-03,5 ROOM,650000
2012-03,5 ROOM,650000
2012-03,5 ROOM,650000
2012-03,4 ROOM,659000
2012-03,4 ROOM,663000
2012-03,5 ROOM,667000
2012-03,4 ROOM,670000
2012-03,4 ROOM,681000
2012-03,4 ROOM,683000
2012-03,5 ROOM,683800
2012-03,4 ROOM,685000
2012-03,4 ROOM,687000
2012-03,4 ROOM,688000
2012-03,4 ROOM,689000
2012-03,5 ROOM,695000
2012-03,4 ROOM,695000
2012-03,4 ROOM,700000
2012-03,4 ROOM,700000
2012-03,5 ROOM,705000
2012-03,4 ROOM,712000
2012-03,5 ROOM,712888
2012-03,4 ROOM,713000
2012-03,4 ROOM,715188
2012-03,4 ROOM,716000
2012-03,4 ROOM,720000
2012-03,5 ROOM,720000
2012-03,5 ROOM,725000
2012-03,4 ROOM,738000
2012-03,5 ROOM,741000
2012-03,4 ROOM,743000
2012-03,5 ROOM,745000
2012-03,4 ROOM,755000
2012-03,5 ROOM,759000
2012-03,5 ROOM,759000
2012-03,4 ROOM,760000
2012-03,5 ROOM,772000
